Minggu ke,Beras,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Daging Sapi,Telur Ayam,Daging Ayam,Minyak Goreng,Gula Pasir,Tahun
112,11950.0,38720.0,28650.0,38770.0,47230.0,133350.0,20010.0,35860.0,18350.0,13500.0,2022.0
113,11910.0,38510.0,27990.0,44190.0,56010.0,133350.0,21870.0,35930.0,17500.0,13500.0,2022.0
114,11900.0,39000.0,28550.0,45933.333333333336,68200.0,139733.33333333334,22333.333333333332,37133.333333333336,17500.0,13500.0,2022.0
115,11900.0,37850.0,28530.0,51050.0,71440.0,140850.0,24710.0,37280.0,17220.0,13500.0,2022.0
116,11900.0,35860.0,30350.0,49140.0,62400.0,137170.0,24400.0,37000.0,19150.0,13580.0,2022.0
117,11900.0,32850.0,31580.0,47870.0,55220.0,139150.0,24750.0,37190.0,24500.0,13550.0,2022.0
118,11900.0,32220.0,31870.0,46980.0,53910.0,145250.0,25600.0,38490.0,24590.0,13810.0,2022.0
119,11900.0,34890.0,32270.0,49230.0,52270.0,144680.0,25460.0,40370.0,24750.0,13950.0,2022.0
120,11900.0,33825.0,30575.0,36312.5,43087.5,143350.0,24262.5,39150.0,24750.0,13950.0,2022.0
121,11900.0,35890.0,31120.0,32650.0,31800.0,144010.0,24060.0,39110.0,24750.0,14550.0,2022.0
122,11900.0,43262.5,31362.5,46087.5,40112.5,151237.5,25987.5,41725.0,24750.0,14550.0,2022.0
123,,,,,,,,,,,2022.0
124,11900.0,43600.0,29980.0,34780.0,35550.0,147160.0,27500.0,40560.0,24750.0,14550.0,2022.0
125,11800.0,46300.0,28700.0,40750.0,47437.5,142500.0,26975.0,37875.0,24750.0,14550.0,2022.0
126,11700.0,48187.5,29212.5,51337.5,56800.0,142500.0,28025.0,36287.5,24750.0,14550.0,2022.0
127,11700.0,47762.5,26925.0,62662.5,76975.0,142500.0,28650.0,38087.5,24650.0,14550.0,2022.0
128,11700.0,55200.0,26120.0,73700.0,96720.0,142500.0,30210.0,41000.0,24350.0,14550.0,2022.0
129,11700.0,57190.0,23730.0,86010.0,105850.0,142500.0,28780.0,39270.0,24170.0,14550.0,2022.0
130,11700.0,62980.0,23910.0,90850.0,103770.0,142500.0,27260.0,38090.0,23750.0,14550.0,2022.0
131,11700.0,65190.0,23780.0,91710.0,108820.0,142500.0,26990.0,38820.0,23650.0,14550.0,2022.0
132,11700.0,73460.0,24440.0,100940.0,110690.0,144000.0,27340.0,39140.0,23150.0,14550.0,2022.0
133,11700.0,70540.0,24750.0,113310.0,115090.0,142500.0,28470.0,40780.0,23100.0,14550.0,2022.0
134,11700.0,55090.0,25610.0,88830.0,86030.0,142500.0,28150.0,38520.0,23100.0,14550.0,2022.0
135,11690.0,42570.0,24780.0,79460.0,71510.0,142500.0,28060.0,38360.0,22170.0,14560.0,2022.0
136,11700.0,41280.0,24950.0,71530.0,69630.0,142500.0,27570.0,37680.0,21280.0,14550.0,2022.0
137,11780.0,38580.0,24920.0,69390.0,66040.0,142500.0,27570.0,36540.0,20650.0,14550.0,2022.0
138,12200.0,35912.5,25337.5,69037.5,54412.5,142500.0,29912.5,36975.0,20500.0,14550.0,2022.0
139,12200.0,34540.0,25870.0,64930.0,43200.0,142500.0,31300.0,38420.0,20500.0,14550.0,2022.0
140,12200.0,33080.0,26310.0,67930.0,52420.0,142500.0,30470.0,36700.0,20500.0,14550.0,2022.0
141,12250.0,36900.0,26430.0,81790.0,57070.0,142500.0,27860.0,37460.0,20500.0,14550.0,2022.0
142,12390.0,35560.0,26440.0,71970.0,62510.0,142500.0,27290.0,37300.0,20500.0,14570.0,2022.0
143,12450.0,33650.0,25630.0,65140.0,71360.0,142500.0,26090.0,36210.0,20500.0,14700.0,2022.0
144,12450.0,33370.0,25210.0,59500.0,64380.0,142500.0,24900.0,35670.0,20500.0,14700.0,2022.0
145,12450.0,34670.0,25470.0,59430.0,60650.0,142500.0,24020.0,36540.0,20100.0,14700.0,2022.0
146,12450.0,34970.0,24860.0,61350.0,58710.0,142500.0,25930.0,36460.0,20000.0,14700.0,2022.0
147,12450.0,34550.0,24720.0,45210.0,44600.0,142500.0,27120.0,35700.0,19490.0,14700.0,2022.0
148,12450.0,34420.0,24720.0,45580.0,43810.0,142500.0,26860.0,34390.0,19400.0,14700.0,2022.0
149,12450.0,34610.0,24430.0,41310.0,39340.0,142500.0,26850.0,35350.0,19400.0,14700.0,2022.0
150,12450.0,33370.0,23530.0,35050.0,36840.0,142500.0,26570.0,35110.0,19400.0,14700.0,2022.0
151,12450.0,34350.0,23730.0,34460.0,37320.0,142500.0,28170.0,35150.0,19400.0,14700.0,2022.0
152,12450.0,33040.0,23720.0,34460.0,41240.0,142500.0,29080.0,36040.0,19400.0,14700.0,2022.0
153,12500.0,34170.0,24010.0,36540.0,44540.0,142500.0,30980.0,35930.0,19400.0,14700.0,2022.0
154,12850.0,33530.0,24530.0,38140.0,51480.0,142500.0,31190.0,35980.0,19400.0,14700.0,2022.0
155,12850.0,34420.0,26090.0,39030.0,53440.0,142500.0,31700.0,37610.0,19400.0,14700.0,2022.0
156,12850.0,34920.0,26080.0,37620.0,47270.0,142500.0,29740.0,38520.0,19400.0,14700.0,2022.0
157,12850.0,34940.0,25140.0,38220.0,56750.0,142500.0,29240.0,39220.0,19400.0,14700.0,2022.0
158,12850.0,37410.0,26000.0,46010.0,79170.0,142500.0,28310.0,38020.0,19400.0,14700.0,2023.0
159,13060.0,38480.0,26380.0,48890.0,70900.0,142500.0,28040.0,36190.0,19400.0,14700.0,2023.0
160,13200.0,42140.0,28820.0,42030.0,57730.0,142500.0,27840.0,36010.0,19400.0,14780.0,2023.0
161,13200.0,44520.0,29220.0,44240.0,62550.0,142500.0,27910.0,35920.0,19400.0,14800.0,2023.0
162,13200.0,49220.0,29510.0,47140.0,60600.0,142500.0,27220.0,35790.0,19400.0,14800.0,2023.0
163,13270.0,47950.0,29390.0,47240.0,65620.0,142500.0,27290.0,36990.0,19400.0,14900.0,2023.0
164,13550.0,42240.0,29270.0,49850.0,70790.0,142500.0,27570.0,36580.0,19400.0,14900.0,2023.0
165,13550.0,38670.0,30120.0,50190.0,74210.0,142500.0,26990.0,36020.0,19400.0,14900.0,2023.0
166,13550.0,36940.0,31040.0,46620.0,67910.0,142500.0,26560.0,35900.0,19400.0,14900.0,2023.0
