,Tanggal,Beras,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Daging Sapi,Telur Ayam,Daging Ayam,Minyak Goreng,Gula Pasir,Tahun,Minggu ke
98,2020-05-18,12100.0,56500.0,33100.0,22250.0,30350.0,124150.0,20400.0,37000.0,13800.0,17600.0,2020,21
99,2020-05-19,12100.0,58650.0,33000.0,23150.0,32750.0,126650.0,20850.0,37000.0,13800.0,17600.0,2020,21
100,2020-05-20,12100.0,58650.0,33150.0,23900.0,32850.0,129150.0,21850.0,38250.0,13800.0,17600.0,2020,21
101,2020-05-21,,,,,,,,,,,2020,21
102,2020-05-22,,,,,,,,,,,2020,21
103,2020-05-25,,,,,,,,,,,2020,22
104,2020-05-26,12100.0,59600.0,32250.0,30850.0,31850.0,144600.0,23250.0,39600.0,13800.0,17600.0,2020,22
105,2020-05-27,12100.0,59150.0,32350.0,30150.0,31250.0,143350.0,23600.0,39850.0,13800.0,17600.0,2020,22
106,2020-05-28,12100.0,59100.0,31650.0,22900.0,29000.0,125850.0,23400.0,37500.0,13800.0,17000.0,2020,22
107,2020-05-29,12100.0,57900.0,31150.0,21850.0,27650.0,124150.0,23100.0,36650.0,13800.0,17000.0,2020,22
108,2020-06-01,,,,,,,,,,,2020,23
109,2020-06-02,12100.0,59600.0,30000.0,23500.0,28150.0,124150.0,23400.0,38250.0,13800.0,16150.0,2020,23
110,2020-06-03,12100.0,59400.0,29250.0,23400.0,28100.0,124150.0,23250.0,37900.0,13800.0,16150.0,2020,23
111,2020-06-04,12100.0,59650.0,28900.0,21600.0,25000.0,124150.0,23500.0,37900.0,13800.0,16150.0,2020,23
112,2020-06-05,12100.0,59250.0,28250.0,21000.0,26100.0,124150.0,23650.0,37900.0,13800.0,16150.0,2020,23
113,2020-06-08,12100.0,59000.0,28350.0,22150.0,25500.0,122500.0,23750.0,40250.0,13800.0,16150.0,2020,24
114,2020-06-09,12100.0,58150.0,28100.0,21500.0,24750.0,122500.0,23850.0,42350.0,13800.0,16100.0,2020,24
115,2020-06-10,12100.0,56850.0,27150.0,21850.0,23900.0,122500.0,23850.0,43250.0,13800.0,16100.0,2020,24
116,2020-06-11,12100.0,56750.0,26850.0,20600.0,23650.0,122500.0,24400.0,42650.0,13800.0,15900.0,2020,24
117,2020-06-12,12100.0,54900.0,26400.0,21350.0,24000.0,122500.0,24400.0,42000.0,13800.0,15850.0,2020,24
118,2020-06-15,12100.0,51350.0,25400.0,24000.0,24900.0,122500.0,24600.0,42100.0,13800.0,15850.0,2020,25
119,2020-06-16,12100.0,49600.0,25350.0,23750.0,25150.0,122500.0,24900.0,41650.0,13800.0,15850.0,2020,25
120,2020-06-17,12100.0,48900.0,25000.0,23150.0,25100.0,122500.0,25000.0,41100.0,13800.0,15850.0,2020,25
121,2020-06-18,12100.0,49600.0,24850.0,22250.0,23600.0,122500.0,25400.0,41150.0,13800.0,15850.0,2020,25
122,2020-06-19,12100.0,48000.0,25150.0,20500.0,23600.0,122500.0,26500.0,41150.0,13800.0,15750.0,2020,25
123,2020-06-22,12100.0,48900.0,24650.0,21000.0,22650.0,122500.0,27150.0,40600.0,13200.0,15750.0,2020,26
124,2020-06-23,12100.0,46900.0,23600.0,21350.0,22500.0,122500.0,27100.0,40900.0,13350.0,15500.0,2020,26
125,2020-06-24,12100.0,46400.0,23100.0,20850.0,22750.0,122500.0,26900.0,40650.0,13350.0,15350.0,2020,26
126,2020-06-25,12100.0,46400.0,22400.0,21150.0,23100.0,122500.0,26850.0,40850.0,13350.0,15350.0,2020,26
127,2020-06-26,12100.0,46600.0,22650.0,22250.0,24150.0,122500.0,26850.0,40400.0,13350.0,15250.0,2020,26
128,2020-06-29,12100.0,44250.0,22600.0,22650.0,25150.0,122500.0,26900.0,40850.0,13350.0,15000.0,2020,27
129,2020-06-30,12100.0,44350.0,22750.0,23000.0,26350.0,122500.0,27150.0,41100.0,13350.0,15000.0,2020,27
130,2020-07-01,12100.0,44250.0,22150.0,22600.0,26750.0,122500.0,26600.0,41350.0,13350.0,15000.0,2020,27
131,2020-07-02,12100.0,42150.0,21650.0,20600.0,27000.0,122500.0,26600.0,41150.0,13350.0,14650.0,2020,27
132,2020-07-03,12100.0,41250.0,21600.0,21250.0,26650.0,122500.0,25750.0,42150.0,13350.0,14650.0,2020,27
133,2020-07-06,12100.0,40350.0,21250.0,22500.0,27150.0,122500.0,25750.0,40100.0,13350.0,14650.0,2020,28
134,2020-07-07,12100.0,40100.0,20900.0,22850.0,28650.0,122500.0,25750.0,40150.0,13350.0,14650.0,2020,28
135,2020-07-08,12100.0,40250.0,20900.0,23150.0,28750.0,122500.0,25900.0,40350.0,13350.0,14300.0,2020,28
136,2020-07-09,12100.0,40650.0,21000.0,24150.0,29400.0,122500.0,25900.0,40000.0,13350.0,14300.0,2020,28
