Minggu ke-,Beras Kualitas Medium I,Bawang Merah Ukuran Sedang,Bawang Putih Ukuran Sedang,Cabai Merah Keriting,Cabai Rawit Merah,Daging Sapi Kualitas 1,Telur Ayam Ras Segar,Daging Ayam Ras Segar,Minyak Goreng Kemasan Bermerk 1,Gula Pasir Lokal
239,15350,26840,40850,43560,85440,137500,27490,36820,18650,16950
240,15270,26000,40850,46080,78250,137500,27660,37980,18650,16970
241,15000,25420,40930,42160,66910,137900,26790,37170,18650,17350
242,15000,24340,41250,40470,59530,137900,26190,36650,18650,17350
243,14600,25340,41280,37030,52500,137900,26100,36240,18650,17350
244,14500,25650,41350,33460,49230,137900,25530,36150,18850,17350
245,14500,27110,41190,31750,44880,137900,26590,36770,19110,17470
246,14500,27100,41150,30650,47870,137900,26140,38300,19200,17500
247,14500,26860,41150,28020,50610,137900,26260,37030,19200,17500
248,14500,28890,41150,26300,51900,137900,26650,36560,19270,17500
249,14500,29450,41150,25690,55300,137900,26130,37460,19550,17490
250,14500,29650,41150,27540,53650,137900,26210,38030,19550,17310
251,14500,30670,41150,30240,49890,137900,26650,38310,19430,17100
252,14500,34990,41720,30100,45550,137700,26340,37330,19540,17030
253,14500,39160,41650,29320,43200,137900,26350,38180,19750,17500
254,14500,41180,42350,28230,46080,135740,26350,38870,19850,17500
255,14560,42960,42350,26870,42000,132500,26350,38100,20000,17500
256,14650,43000,42350,26610,38270,132500,26350,37550,20000,17500
257,14650,42560,42640,29960,37530,132500,26650,37990,20000,17500
258,14650,43200,43000,40150,43340,132500,29670,37410,18840,17560
259,14650,42970,43000,47230,54320,132500,31740,38130,17900,17650
260,14650,42970,43000,47230,54320,132500,31740,38130,17900,17650
261,13807,39609,37959,57121,68504,133808,28923,38387,17912,16407
